{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          30.5913      39.7631          0.9560      0.8627              0.8627          0.8627
1          54.7627      16.5174          0.9673      0.8966              0.8992          0.8979
2          78.8139      11.4010          0.9710      0.9012              0.9197          0.9104
3          102.7207      8.7082          0.9743      0.9083              0.9337          0.9208
4          126.7061      7.5217          0.9768      0.9217              0.9346          0.9281
5          151.0581      6.9447          0.9774      0.9205              0.9402          0.9303
6          174.6080      5.8375          0.9764      0.9109              0.9449          0.9276
7          198.1079      5.4125          0.9777      0.9253              0.9365          0.9309
8          222.0161      4.8928          0.9758      0.9158              0.9346          0.9251
9          245.9994      4.6582          0.9773      0.9212              0.9384          0.9297
10          270.6209      5.1310          0.9786      0.9320              0.9346          0.9333
11          294.7074      4.2992          0.9782      0.9318              0.9318          0.9318
12          317.9917      4.8930          0.9776      0.9183              0.9440          0.9309
13          341.7880      3.9600          0.9785      0.9264              0.9402          0.9333
14          365.8636      3.6052          0.9789      0.9306              0.9384          0.9344
15          389.6357      3.4729          0.9792      0.9355              0.9346          0.9351
16          413.7147      3.4053          0.9777      0.9214              0.9412          0.9312
17          437.6536      3.7376          0.9794      0.9364              0.9346          0.9355
18          461.6726      3.4199          0.9788      0.9313              0.9365          0.9339
19          485.5040      2.4996          0.9815      0.9396              0.9449          0.9423
20          509.3673      2.2121          0.9800      0.9310              0.9449          0.9379
21          534.0844      2.1154          0.9815      0.9405              0.9440          0.9422
22          558.0394      2.0437          0.9801      0.9343              0.9421          0.9382
23          582.5129      2.2046          0.9797      0.9309              0.9430          0.9369
24          606.6423      2.3225          0.9792      0.9260              0.9458          0.9358
25          630.8478      2.2653          0.9794      0.9356              0.9356          0.9356
26          654.5989      2.1644          0.9812      0.9420              0.9402          0.9411
27          678.4942      1.9965          0.9821      0.9432              0.9449          0.9440
28          702.6146      1.9859          0.9803      0.9367              0.9402          0.9385
29          727.2034      2.1000          0.9810      0.9370              0.9449          0.9410
30          752.1292      1.8526          0.9801      0.9319              0.9449          0.9383
31          776.4488      1.9426          0.9792      0.9339              0.9365          0.9352
32          801.6829      2.2594          0.9807      0.9329              0.9477          0.9403
33          826.1264      2.0138          0.9810      0.9354              0.9468          0.9411
34          850.8998      2.0108          0.9797      0.9341              0.9393          0.9367
35          875.7342      2.0246          0.9794      0.9292              0.9430          0.9361
36          899.0529      1.7811          0.9816      0.9389              0.9468          0.9428
37          923.6843      1.7210          0.9801      0.9343              0.9421          0.9382
38          947.9617      1.8345          0.9809      0.9378              0.9430          0.9404
39          972.4162      1.2616          0.9812      0.9331              0.9505          0.9417
40          997.3269      1.0725          0.9813      0.9396              0.9440          0.9418
41          1021.2899      1.1942          0.9828      0.9501              0.9421          0.9461
